neighbourhood,month,year,count 
Beechborough-Greenbrook,September,2001,1
South Riverdale,September,2001,4
Highland Creek,September,2001,3
Woodbine-Lumsden,September,2001,1
Englemount-Lawrence,September,2001,1
The Beaches,September,2001,3
Rouge,September,2001,1
Stonegate-Queensway,September,2001,1
Keelesdale-Eglinton West,September,2001,3
Downsview-Roding-CFB,September,2001,1
Brookhaven-Amesbury,September,2001,4
Agincourt South-Malvern West,September,2001,4
Flemingdon Park,September,2001,3
Blake-Jones,September,2001,3
Parkwoods-Donalda,September,2001,2
Victoria Village,September,2001,3
Scarborough Village,September,2001,4
Regent Park,September,2001,4
Etobicoke West Mall,September,2001,4
Agincourt South-Malvern West,September,2001,1
Newtonbrook West,September,2001,1
Maple Leaf,September,2001,1
Danforth,September,2001,4
Lambton Baby Point,September,2001,3
Annex,September,2001,1
Stonegate-Queensway,September,2001,3
West Humber-Clairville,September,2001,3
West Humber-Clairville,September,2001,1
Brookhaven-Amesbury,September,2001,4
Rouge,September,2001,2
Greenwood-Coxwell,September,2001,2
Bendale,September,2001,1
Woburn,September,2001,4
Briar Hill-Belgravia,September,2001,2
Waterfront Communities-The Island,September,2001,2
Cliffcrest,September,2001,4
Mimico,September,2001,3
Taylor-Massey,September,2001,3
Milliken,September,2001,1
Agincourt South-Malvern West,September,2001,2
Kingsway South,September,2001,3
Blake-Jones,September,2001,4
Princess-Rosethorn,September,2001,3
Yonge-Eglinton,September,2001,4
Briar Hill-Belgravia,September,2001,1
Runnymede-Bloor West VillageJunction Area,September,2001,4
West Hill,September,2001,1
Morningside,September,2001,3
Little Portugal,September,2001,3
Agincourt North,September,2001,3
Danforth,September,2001,1
Bedford Park-Nortown,September,2001,3
Bendale,September,2001,3
Victoria Village,September,2001,4
Lawrence Park North,September,2001,2
The Beaches,September,2001,1
Dorset Park,September,2001,3
Englemount-Lawrence,September,2001,2
Oakridge,September,2001,3
Rockcliffe-Smythe,September,2001,2
Humber Summit,September,2001,3
High Park-Swansea,September,2001,1
Greenwood-Coxwell,September,2001,2
Forest Hill North,September,2001,3
Casa Loma,September,2001,4
Church-Yonge Corridor,September,2001,3
North St.James Town,September,2001,1
Danforth-East York,September,2001,1
Thorncliffe Park,September,2001,2
Runnymede-Bloor West VillageJunction Area,September,2001,4
Bayview Village,October,2001,1
Elms-Old Rexdale,October,2001,1
Newtonbrook West,October,2001,2
Guildwood,October,2001,4
Rexdale-Kipling,October,2001,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,October,2001,1
Thistletown-Beaumond Heights,October,2001,3
Little Portugal,October,2001,3
Henry Farm,October,2001,2
Kingsview Village-The Westway,October,2001,1
Princess-Rosethorn,October,2001,1
Lambton Baby Point,October,2001,4
Englemount-Lawrence,October,2001,2
Casa Loma,October,2001,4
Westminster-Branson,October,2001,4
O'Connor-Parkview,October,2001,1
Bayview Woods-Steeles,October,2001,4
Oakwood Village,October,2001,3
West Humber-Clairville,October,2001,2
Humbermede,October,2001,2
Woodbine Corridor,October,2001,1
Danforth-East York,October,2001,4
Steeles,October,2001,2
L'Amoreaux,October,2001,1
Old East York,October,2001,2
Highland Creek,October,2001,1
Wexford/Maryvale,October,2001,4
East End-Danforth,October,2001,1
Bayview Village,October,2001,1
Milliken,October,2001,3
Elms-Old Rexdale,October,2001,4
Maple Leaf,October,2001,4
Mimico,October,2001,2
High Park North,October,2001,4
Forest Hill South,October,2001,2
Willowdale West,October,2001,4
Moss Park,October,2001,1
Roncesvalles,October,2001,1
Forest Hill South,October,2001,4
Woburn,October,2001,2
Niagara,October,2001,3
High Park-Swansea,October,2001,3
Highland Creek,October,2001,1
Keelesdale-Eglinton West,October,2001,3
North Riverdale,October,2001,1
Danforth,October,2001,1
Glenfield-Jane Heights,October,2001,2
Weston,October,2001,2
Briar Hill-Belgravia,October,2001,1
Mimico,October,2001,1
Henry Farm,October,2001,2
Mount Pleasant East,October,2001,2
Elms-Old Rexdale,October,2001,4
East End-Danforth,October,2001,2
Willowridge-Martingrove-Richview,October,2001,2
Rouge,October,2001,3
Agincourt South-Malvern West,October,2001,1
Forest Hill South,October,2001,3
Playter Estates-Danforth,October,2001,2
Scarborough Village,October,2001,2
Playter Estates-Danforth,October,2001,4
Downsview-Roding-CFB,October,2001,4
Bayview Village,October,2001,2
Yonge-St.Clair,October,2001,1
Newtonbrook East,October,2001,4
Lansing-Westgate,October,2001,1
Willowdale East,October,2001,1
Mount Pleasant East,October,2001,3
Kingsway South,October,2001,4
Forest Hill South,October,2001,3
Bridle Path-Sunnybrook-York Mills,October,2001,3
High Park North,October,2001,1
Bridle Path-Sunnybrook-York Mills,October,2001,4
Bayview Village,October,2001,4
Woodbine Corridor,October,2001,1
Long Branch,October,2001,3
Long Branch,October,2001,2
L'Amoreaux,October,2001,4
Downsview-Roding-CFB,October,2001,1
Stonegate-Queensway,October,2001,2
Bridle Path-Sunnybrook-York Mills,October,2001,4
Centennial Scarborough,October,2001,4
Rouge,October,2001,4
Eglinton East,October,2001,2
Princess-Rosethorn,October,2001,2
Mount Pleasant East,October,2001,2
Kennedy Park,October,2001,4
Princess-Rosethorn,October,2001,4
Briar Hill-Belgravia,October,2001,4
Mount Olive-Silverstone-Jamestown,October,2001,1
Banbury-Don Mills,October,2001,3
West Humber-Clairville,October,2001,4
Highland Creek,October,2001,4
Banbury-Don Mills,October,2001,3
Etobicoke West Mall,October,2001,2
Kensington-Chinatown,October,2001,2
Little Portugal,October,2001,3
Bathurst Manor,October,2001,3
Oakridge,October,2001,4
Rockcliffe-Smythe,October,2001,3
Victoria Village,October,2001,4
East End-Danforth,October,2001,3
Lawrence Park South,October,2001,1
Cabbagetown-South St.James Town,October,2001,3
Clanton Park,October,2001,3
Bendale,October,2001,4
Ionview,October,2001,4
Birchcliffe-Cliffside,October,2001,2
Caledonia-Fairbank,October,2001,4
Lawrence Park North,October,2001,1
Tam O'Shanter-Sullivan,October,2001,1
Westminster-Branson,October,2001,3
Rexdale-Kipling,October,2001,3
High Park North,October,2001,1
North St.James Town,October,2001,4
Willowdale West,October,2001,2
Islington-City Centre West,October,2001,4
South Parkdale,October,2001,1
Bathurst Manor,October,2001,3
Clairlea-Birchmount,October,2001,1
Danforth-East York,October,2001,1
Highland Creek,October,2001,4
Broadview North,October,2001,1
Humewood-Cedarvale,October,2001,2
Morningside,October,2001,3
High Park-Swansea,October,2001,1
Hillcrest Village,October,2001,3
Newtonbrook West,October,2001,1
Willowdale West,October,2001,1
Black Creek,October,2001,3
Woodbine Corridor,October,2001,3
Woburn,October,2001,3
Parkwoods-Donalda,October,2001,4
Hillcrest Village,October,2001,4
Thorncliffe Park,October,2001,1
Bathurst Manor,October,2001,1
Glenfield-Jane Heights,October,2001,2
Bathurst Manor,October,2001,4
Lansing-Westgate,October,2001,4
Stonegate-Queensway,October,2001,3
Willowdale East,October,2001,4
Agincourt North,November,2001,3
Black Creek,November,2001,4
Dorset Park,November,2001,3
Lawrence Park South,November,2001,4
Guildwood,November,2001,1
Runnymede-Bloor West VillageJunction Area,November,2001,4
Glenfield-Jane Heights,November,2001,2
Forest Hill South,November,2001,1
Stonegate-Queensway,November,2001,4
Beechborough-Greenbrook,November,2001,1
Danforth,November,2001,2
High Park North,November,2001,2
Bayview Village,November,2001,4
Humewood-Cedarvale,November,2001,4
Palmerston-Little Italy,November,2001,4
Maple Leaf,November,2001,1
Clanton Park,November,2001,3
Danforth,November,2001,3
Yonge-Eglinton,November,2001,3
Wexford/Maryvale,November,2001,4
Greenwood-Coxwell,November,2001,1
St.Andrew-Windfields,November,2001,2
Banbury-Don Mills,November,2001,4
Eringate-Centennial-West DeaneMarkland Wood,November,2001,1
Old East York,November,2001,2
Malvern,November,2001,2
Old East York,November,2001,3
Woodbine-Lumsden,November,2001,1
Princess-Rosethorn,November,2001,4
Maple Leaf,November,2001,3
Willowdale West,November,2001,2
Princess-Rosethorn,November,2001,4
Bathurst Manor,November,2001,3
Thorncliffe Park,November,2001,2
Church-Yonge Corridor,November,2001,3
Morningside,November,2001,2
Keelesdale-Eglinton West,November,2001,1
Hillcrest Village,November,2001,3
New Toronto,November,2001,1
East End-Danforth,November,2001,3
L'Amoreaux,November,2001,4
Weston,November,2001,3
Woodbine Corridor,November,2001,3
Kingsview Village-The Westway,November,2001,2
Newtonbrook East,November,2001,3
Humber Heights-Westmount,November,2001,3
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,November,2001,2
Englemount-Lawrence,November,2001,4
Banbury-Don Mills,November,2001,2
Don Valley Village,November,2001,3
Little Portugal,November,2001,4
Bathurst Manor,November,2001,1
North Riverdale,November,2001,3
Woodbine Corridor,November,2001,3
Hillcrest Village,November,2001,1
Downsview-Roding-CFB,November,2001,1
Humber Summit,November,2001,1
Centennial Scarborough,November,2001,3
Casa Loma,November,2001,3
Kensington-Chinatown,November,2001,3
South Parkdale,November,2001,2
Beechborough-Greenbrook,November,2001,3
Glenfield-Jane Heights,November,2001,4
West Hill,November,2001,3
Kennedy Park,November,2001,1
Blake-Jones,November,2001,2
Willowridge-Martingrove-Richview,November,2001,4
Little Portugal,November,2001,4
Waterfront Communities-The Island,November,2001,2
Oakridge,November,2001,3
Clairlea-Birchmount,November,2001,4
Humber Summit,November,2001,2
Greenwood-Coxwell,November,2001,4
Yonge-St.Clair,November,2001,3
Pleasant View,November,2001,1
Victoria Village,November,2001,1
Eringate-Centennial-West DeaneMarkland Wood,November,2001,1
Briar Hill-Belgravia,November,2001,1
Agincourt South-Malvern West,November,2001,1
Waterfront Communities-The Island,November,2001,1
Victoria Village,November,2001,1
West Humber-Clairville,November,2001,4
Danforth,November,2001,4
Princess-Rosethorn,November,2001,1
Bayview Woods-Steeles,November,2001,1
Banbury-Don Mills,November,2001,2
Maple Leaf,November,2001,3
O'Connor-Parkview,November,2001,2
St.Andrew-Windfields,November,2001,4
Willowridge-Martingrove-Richview,November,2001,1
South Parkdale,November,2001,4
Forest Hill North,November,2001,3
Willowdale West,November,2001,1
Milliken,November,2001,2
Thistletown-Beaumond Heights,November,2001,2
Englemount-Lawrence,November,2001,4
Alderwood,November,2001,3
York University Heights,November,2001,1
Kensington-Chinatown,November,2001,4
Playter Estates-Danforth,November,2001,4
Lawrence Park North,November,2001,4
Bayview Village,November,2001,1
High Park North,November,2001,1
Ionview,November,2001,4
Yonge-Eglinton,November,2001,2
University,November,2001,2
Mount Pleasant West,November,2001,3
Agincourt South-Malvern West,November,2001,2
New Toronto,November,2001,1
Willowdale West,November,2001,2
Eringate-Centennial-West DeaneMarkland Wood,November,2001,2
Elms-Old Rexdale,November,2001,2
Yonge-St.Clair,November,2001,1
East End-Danforth,November,2001,2
Etobicoke West Mall,November,2001,1
Edenbridge-Humber Valley,November,2001,3
Forest Hill North,November,2001,1
Pleasant View,November,2001,1
Bay Street Corridor,November,2001,1
West Hill,November,2001,3
Runnymede-Bloor West VillageJunction Area,November,2001,3
Kingsway South,November,2001,1
Lambton Baby Point,November,2001,1
Brookhaven-Amesbury,November,2001,3
West Humber-Clairville,November,2001,3
Englemount-Lawrence,November,2001,4
Palmerston-Little Italy,November,2001,2
Willowridge-Martingrove-Richview,November,2001,3
Islington-City Centre West,November,2001,3
Leaside-Bennington,November,2001,3
Trinity-Bellwoods,November,2001,2
Rustic,November,2001,1
Little Portugal,November,2001,3
Newtonbrook East,November,2001,4
West Humber-Clairville,November,2001,3
Broadview North,November,2001,1
Bay Street Corridor,November,2001,4
Casa Loma,November,2001,3
East End-Danforth,November,2001,3
Willowdale East,November,2001,2
Westminster-Branson,November,2001,3
Waterfront Communities-The Island,December,2001,3
Rexdale-Kipling,December,2001,4
Tam O'Shanter-Sullivan,December,2001,1
Little Portugal,December,2001,1
Willowridge-Martingrove-Richview,December,2001,2
Keelesdale-Eglinton West,December,2001,3
Black Creek,December,2001,4
St.Andrew-Windfields,December,2001,1
Glenfield-Jane Heights,December,2001,2
Eringate-Centennial-West DeaneMarkland Wood,December,2001,2
Danforth,December,2001,3
Mount Dennis,December,2001,1
Downsview-Roding-CFB,December,2001,3
Casa Loma,December,2001,1
Bedford Park-Nortown,December,2001,1
Downsview-Roding-CFB,December,2001,1
Casa Loma,December,2001,3
Rouge,December,2001,1
Englemount-Lawrence,December,2001,3
Thorncliffe Park,December,2001,3
Bay Street Corridor,December,2001,4
Lawrence Park South,December,2001,4
Bayview Woods-Steeles,December,2001,2
Morningside,December,2001,3
Lawrence Park South,December,2001,3
Rexdale-Kipling,December,2001,3
Ionview,December,2001,2
Yonge-St.Clair,December,2001,4
Mount Pleasant West,December,2001,2
Mimico,December,2001,4
Yonge-St.Clair,December,2001,4
High Park North,December,2001,2
Humber Heights-Westmount,December,2001,3
Long Branch,December,2001,4
Forest Hill South,December,2001,4
Annex,December,2001,2
Kensington-Chinatown,December,2001,1
Rustic,December,2001,3
Caledonia-Fairbank,December,2001,2
Woburn,December,2001,1
The Beaches,December,2001,4
Henry Farm,December,2001,3
Downsview-Roding-CFB,December,2001,3
Kingsway South,December,2001,4
Leaside-Bennington,December,2001,2
Niagara,December,2001,2
O'Connor-Parkview,December,2001,1
Steeles,December,2001,3
Rosedale-Moore Park,December,2001,1
Forest Hill South,December,2001,1
O'Connor-Parkview,December,2001,1
Malvern,December,2001,2
Eringate-Centennial-West DeaneMarkland Wood,December,2001,2
Blake-Jones,December,2001,4
O'Connor-Parkview,December,2001,3
Centennial Scarborough,December,2001,3
Tam O'Shanter-Sullivan,December,2001,2
Willowridge-Martingrove-Richview,December,2001,3
Islington-City Centre West,December,2001,3
Flemingdon Park,December,2001,3
Pleasant View,December,2001,2
Cliffcrest,December,2001,3
Kennedy Park,December,2001,3
Dorset Park,December,2001,1
Taylor-Massey,December,2001,3
Mount Pleasant West,December,2001,2
Victoria Village,December,2001,1
Rustic,December,2001,3
Humber Heights-Westmount,December,2001,3
Mimico,December,2001,4
The Beaches,December,2001,4
Tam O'Shanter-Sullivan,December,2001,2
Edenbridge-Humber Valley,December,2001,3
Alderwood,December,2001,3
O'Connor-Parkview,December,2001,3
Humber Summit,December,2001,4
St.Andrew-Windfields,December,2001,3
Eglinton East,December,2001,1
L'Amoreaux,December,2001,4
Rustic,December,2001,1
Yorkdale-Glen Park,December,2001,4
Newtonbrook West,December,2001,1
Mount Pleasant East,December,2001,4
Alderwood,December,2001,1
Morningside,December,2001,1
Oakridge,December,2001,4
Broadview North,December,2001,1
High Park North,December,2001,1
Bridle Path-Sunnybrook-York Mills,December,2001,1
Playter Estates-Danforth,December,2001,1
Casa Loma,December,2001,3
Bayview Village,December,2001,2
Agincourt North,December,2001,2
Downsview-Roding-CFB,December,2001,3
Newtonbrook East,December,2001,4
Wexford/Maryvale,December,2001,1
Eringate-Centennial-West DeaneMarkland Wood,December,2001,2
Woodbine Corridor,December,2001,2
Henry Farm,December,2001,4
Bedford Park-Nortown,December,2001,1
New Toronto,December,2001,4
Lawrence Park North,December,2001,1
Stonegate-Queensway,December,2001,4
Dufferin Grove,December,2001,3
Wexford/Maryvale,December,2001,4
Pleasant View,December,2001,4
Scarborough Village,December,2001,2
Cliffcrest,December,2001,3
Regent Park,December,2001,3
Casa Loma,December,2001,4
Playter Estates-Danforth,December,2001,1
Oakwood Village,December,2001,2
Rustic,December,2001,3
Dorset Park,December,2001,2
Cliffcrest,December,2001,4
Banbury-Don Mills,December,2001,1
Black Creek,December,2001,3
Tam O'Shanter-Sullivan,December,2001,2
Niagara,December,2001,2
Woodbine Corridor,December,2001,3
Bendale,December,2001,3
Broadview North,December,2001,4
Moss Park,December,2001,3
Alderwood,December,2001,1
Mount Dennis,December,2001,1
Bayview Village,December,2001,1
South Riverdale,December,2001,4
Stonegate-Queensway,December,2001,4
Leaside-Bennington,December,2001,4
Oakridge,December,2001,4
Forest Hill North,December,2001,4
Malvern,December,2001,1
Moss Park,December,2001,2
Rouge,December,2001,3
Flemingdon Park,December,2001,3
Yonge-Eglinton,December,2001,3
Kingsview Village-The Westway,December,2001,1
Briar Hill-Belgravia,December,2001,4
Bedford Park-Nortown,December,2001,3
Dufferin Grove,December,2001,3
Willowridge-Martingrove-Richview,December,2001,4
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,January,2002,3
L'Amoreaux,January,2002,3
Greenwood-Coxwell,January,2002,3
Bayview Village,January,2002,2
Milliken,January,2002,2
Runnymede-Bloor West VillageJunction Area,January,2002,2
University,January,2002,2
Lawrence Park North,January,2002,3
Wexford/Maryvale,January,2002,3
Ionview,January,2002,3
Woodbine-Lumsden,January,2002,4
Yonge-St.Clair,January,2002,1
Bathurst Manor,January,2002,4
Leaside-Bennington,January,2002,1
Dorset Park,January,2002,1
Oakwood Village,January,2002,4
Yonge-Eglinton,January,2002,3
Kingsview Village-The Westway,January,2002,1
Eringate-Centennial-West DeaneMarkland Wood,January,2002,2
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,January,2002,2
Cliffcrest,January,2002,3
Westminster-Branson,January,2002,4
Malvern,January,2002,2
Caledonia-Fairbank,January,2002,4
Weston,January,2002,3
St.Andrew-Windfields,January,2002,3
Brookhaven-Amesbury,January,2002,3
Princess-Rosethorn,January,2002,2
Trinity-Bellwoods,January,2002,2
Briar Hill-Belgravia,January,2002,3
West Humber-Clairville,January,2002,2
Dufferin Grove,January,2002,1
Agincourt South-Malvern West,January,2002,3
Greenwood-Coxwell,January,2002,2
Willowdale West,January,2002,4
Willowdale West,January,2002,2
Woodbine-Lumsden,January,2002,1
Clairlea-Birchmount,January,2002,4
Lawrence Park South,January,2002,3
Trinity-Bellwoods,January,2002,3
Parkwoods-Donalda,January,2002,2
Kensington-Chinatown,January,2002,1
Hillcrest Village,January,2002,4
Yonge-St.Clair,January,2002,2
Woodbine Corridor,January,2002,2
Dufferin Grove,January,2002,2
Caledonia-Fairbank,January,2002,4
Rustic,January,2002,3
York University Heights,January,2002,3
Don Valley Village,January,2002,2
Dorset Park,January,2002,2
Greenwood-Coxwell,January,2002,2
Danforth,January,2002,3
Agincourt North,January,2002,3
Long Branch,January,2002,3
Humber Summit,January,2002,2
Alderwood,January,2002,1
Keelesdale-Eglinton West,January,2002,1
Thorncliffe Park,January,2002,3
Malvern,January,2002,2
Westminster-Branson,January,2002,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,January,2002,4
South Parkdale,January,2002,3
Humewood-Cedarvale,January,2002,3
O'Connor-Parkview,January,2002,3
Weston,January,2002,4
Edenbridge-Humber Valley,January,2002,4
Rexdale-Kipling,January,2002,4
New Toronto,January,2002,3
Oakridge,January,2002,1
Woodbine-Lumsden,January,2002,2
Stonegate-Queensway,January,2002,3
Danforth,January,2002,4
Brookhaven-Amesbury,January,2002,4
Long Branch,January,2002,3
O'Connor-Parkview,January,2002,1
Humewood-Cedarvale,January,2002,1
Lansing-Westgate,January,2002,4
Ionview,January,2002,1
Danforth,January,2002,1
Rustic,January,2002,1
Beechborough-Greenbrook,January,2002,2
Danforth-East York,January,2002,4
Mount Pleasant West,January,2002,4
Bayview Woods-Steeles,January,2002,3
Yonge-St.Clair,January,2002,3
Agincourt North,January,2002,3
Tam O'Shanter-Sullivan,January,2002,2
Beechborough-Greenbrook,January,2002,2
Agincourt South-Malvern West,January,2002,3
Cabbagetown-South St.James Town,January,2002,3
Trinity-Bellwoods,January,2002,3
Newtonbrook West,January,2002,3
Mount Pleasant East,January,2002,3
Danforth-East York,January,2002,1
Rosedale-Moore Park,January,2002,2
Beechborough-Greenbrook,January,2002,1
Bathurst Manor,January,2002,4
West Humber-Clairville,January,2002,1
Newtonbrook West,January,2002,3
Mount Dennis,January,2002,2
Lansing-Westgate,January,2002,3
Bayview Woods-Steeles,January,2002,1
Trinity-Bellwoods,January,2002,2
Pleasant View,January,2002,4
Don Valley Village,January,2002,4
South Riverdale,January,2002,4
Agincourt South-Malvern West,January,2002,4
High Park North,January,2002,4
Highland Creek,January,2002,1
Willowdale West,January,2002,3
Maple Leaf,January,2002,2
Pleasant View,January,2002,3
Kingsway South,January,2002,2
Oakridge,January,2002,4
Little Portugal,January,2002,3
Willowridge-Martingrove-Richview,January,2002,4
L'Amoreaux,January,2002,2
Scarborough Village,January,2002,4
St.Andrew-Windfields,January,2002,4
Palmerston-Little Italy,January,2002,2
Roncesvalles,January,2002,3
Humber Heights-Westmount,January,2002,1
Princess-Rosethorn,January,2002,2
Alderwood,January,2002,1
Regent Park,January,2002,2
Forest Hill South,January,2002,4
Pleasant View,January,2002,1
L'Amoreaux,January,2002,1
Humber Heights-Westmount,January,2002,3
Old East York,January,2002,4
Don Valley Village,January,2002,4
Weston,January,2002,3
L'Amoreaux,January,2002,2
Roncesvalles,January,2002,2
Yonge-St.Clair,January,2002,4
Thistletown-Beaumond Heights,January,2002,4
The Beaches,January,2002,4
West Hill,January,2002,1
Woodbine Corridor,January,2002,1
Humber Summit,January,2002,4
Cabbagetown-South St.James Town,February,2002,3
Weston,February,2002,4
Princess-Rosethorn,February,2002,2
Mount Pleasant East,February,2002,3
Willowridge-Martingrove-Richview,February,2002,3
Rexdale-Kipling,February,2002,1
Broadview North,February,2002,3
High Park North,February,2002,2
Milliken,February,2002,1
Edenbridge-Humber Valley,February,2002,2
Greenwood-Coxwell,February,2002,2
University,February,2002,1
Don Valley Village,February,2002,3
Woburn,February,2002,3
High Park North,February,2002,2
Lawrence Park North,February,2002,1
Black Creek,February,2002,2
Annex,February,2002,3
Willowdale East,February,2002,3
Guildwood,February,2002,3
Tam O'Shanter-Sullivan,February,2002,2
Mimico,February,2002,4
North Riverdale,February,2002,4
Cliffcrest,February,2002,3
Princess-Rosethorn,February,2002,1
Moss Park,February,2002,1
Humber Summit,February,2002,1
Alderwood,February,2002,4
Cliffcrest,February,2002,2
Runnymede-Bloor West VillageJunction Area,February,2002,1
Etobicoke West Mall,February,2002,1
Waterfront Communities-The Island,February,2002,4
Old East York,February,2002,1
East End-Danforth,February,2002,2
Rosedale-Moore Park,February,2002,1
Princess-Rosethorn,February,2002,2
Maple Leaf,February,2002,1
Morningside,February,2002,3
Bedford Park-Nortown,February,2002,2
Princess-Rosethorn,February,2002,1
Greenwood-Coxwell,February,2002,2
Cabbagetown-South St.James Town,February,2002,3
Forest Hill South,February,2002,4
Woburn,February,2002,3
Ionview,February,2002,1
Yorkdale-Glen Park,February,2002,1
Islington-City Centre West,February,2002,1
Keelesdale-Eglinton West,February,2002,1
Ionview,February,2002,1
Woburn,February,2002,3
Annex,February,2002,2
Casa Loma,February,2002,1
Scarborough Village,February,2002,2
Flemingdon Park,February,2002,3
Lansing-Westgate,February,2002,2
Malvern,February,2002,2
University,February,2002,2
Don Valley Village,February,2002,3
Newtonbrook East,February,2002,2
Willowdale East,February,2002,2
Yonge-Eglinton,February,2002,4
Henry Farm,February,2002,3
Humewood-Cedarvale,February,2002,1
Bayview Woods-Steeles,February,2002,2
Edenbridge-Humber Valley,February,2002,4
Henry Farm,February,2002,4
Greenwood-Coxwell,February,2002,4
Danforth,February,2002,1
South Riverdale,February,2002,2
Willowridge-Martingrove-Richview,February,2002,4
Greenwood-Coxwell,February,2002,4
Rouge,February,2002,4
Taylor-Massey,February,2002,3
Willowridge-Martingrove-Richview,February,2002,4
Briar Hill-Belgravia,February,2002,1
Cliffcrest,February,2002,4
Guildwood,February,2002,2
Cabbagetown-South St.James Town,February,2002,2
Hillcrest Village,February,2002,4
Greenwood-Coxwell,February,2002,4
Eringate-Centennial-West DeaneMarkland Wood,February,2002,4
Playter Estates-Danforth,February,2002,2
Humbermede,February,2002,4
Rosedale-Moore Park,February,2002,3
Bendale,February,2002,2
Centennial Scarborough,February,2002,3
Oakridge,February,2002,2
Casa Loma,February,2002,4
Bayview Village,February,2002,1
Casa Loma,February,2002,2
Bayview Woods-Steeles,February,2002,2
Thorncliffe Park,February,2002,2
Islington-City Centre West,February,2002,1
Church-Yonge Corridor,February,2002,1
Danforth-East York,February,2002,2
Eringate-Centennial-West DeaneMarkland Wood,February,2002,3
Mimico,February,2002,3
Guildwood,February,2002,4
Yonge-Eglinton,February,2002,3
Mount Pleasant West,February,2002,2
Pleasant View,February,2002,1
Humewood-Cedarvale,February,2002,3
South Riverdale,February,2002,4
St.Andrew-Windfields,February,2002,3
Pleasant View,February,2002,2
Long Branch,February,2002,3
Lawrence Park South,February,2002,4
Niagara,February,2002,4
Niagara,February,2002,1
Mimico,February,2002,1
Ionview,February,2002,1
Etobicoke West Mall,February,2002,1
Long Branch,February,2002,4
Willowridge-Martingrove-Richview,February,2002,2
Bathurst Manor,February,2002,1
Maple Leaf,February,2002,2
Parkwoods-Donalda,February,2002,4
Danforth-East York,February,2002,3
North St.James Town,February,2002,4
Agincourt North,February,2002,3
Forest Hill North,February,2002,4
Taylor-Massey,February,2002,3
Clanton Park,February,2002,4
North Riverdale,February,2002,4
Agincourt South-Malvern West,February,2002,3
Parkwoods-Donalda,February,2002,2
Weston,February,2002,1
University,February,2002,2
Humbermede,February,2002,4
Guildwood,February,2002,3
Regent Park,February,2002,2
Ionview,February,2002,3
The Beaches,February,2002,4
Willowdale West,February,2002,4
Humber Summit,February,2002,2
Eringate-Centennial-West DeaneMarkland Wood,February,2002,3
Rosedale-Moore Park,February,2002,4
Bayview Village,February,2002,2
Rexdale-Kipling,February,2002,1
Scarborough Village,February,2002,2
Woburn,February,2002,3
West Humber-Clairville,March,2002,4
Bathurst Manor,March,2002,1
High Park North,March,2002,4
Eglinton East,March,2002,4
Lambton Baby Point,March,2002,1
Pelmo Park-Humberlea,March,2002,4
Rexdale-Kipling,March,2002,1
Mimico,March,2002,4
Islington-City Centre West,March,2002,1
Maple Leaf,March,2002,4
Humewood-Cedarvale,March,2002,2
The Beaches,March,2002,3
Princess-Rosethorn,March,2002,2
Thistletown-Beaumond Heights,March,2002,1
Elms-Old Rexdale,March,2002,3
Kensington-Chinatown,March,2002,3
Rouge,March,2002,1
Rockcliffe-Smythe,March,2002,1
Banbury-Don Mills,March,2002,3
Hillcrest Village,March,2002,1
New Toronto,March,2002,1
Roncesvalles,March,2002,1
Downsview-Roding-CFB,March,2002,3
Mount Pleasant West,March,2002,2
Bathurst Manor,March,2002,4
Trinity-Bellwoods,March,2002,2
Malvern,March,2002,1
South Riverdale,March,2002,1
Yonge-Eglinton,March,2002,4
University,March,2002,1
Runnymede-Bloor West VillageJunction Area,March,2002,3
East End-Danforth,March,2002,4
West Hill,March,2002,1
East End-Danforth,March,2002,2
Eringate-Centennial-West DeaneMarkland Wood,March,2002,4
Lambton Baby Point,March,2002,1
Highland Creek,March,2002,3
Casa Loma,March,2002,1
Steeles,March,2002,1
Bendale,March,2002,4
South Parkdale,March,2002,1
Rexdale-Kipling,March,2002,2
Victoria Village,March,2002,4
Danforth-East York,March,2002,4
Humewood-Cedarvale,March,2002,1
Malvern,March,2002,3
Woodbine Corridor,March,2002,2
Black Creek,March,2002,4
Brookhaven-Amesbury,March,2002,3
Rosedale-Moore Park,March,2002,2
West Humber-Clairville,March,2002,1
South Parkdale,March,2002,1
O'Connor-Parkview,March,2002,2
Mount Pleasant East,March,2002,4
Lawrence Park South,March,2002,4
Hillcrest Village,March,2002,4
Kennedy Park,March,2002,1
Victoria Village,March,2002,3
Greenwood-Coxwell,March,2002,1
Broadview North,March,2002,2
Keelesdale-Eglinton West,March,2002,2
Weston,March,2002,3
Elms-Old Rexdale,March,2002,1
Morningside,March,2002,1
Birchcliffe-Cliffside,March,2002,4
Kensington-Chinatown,March,2002,3
Rouge,March,2002,3
Scarborough Village,March,2002,1
Annex,March,2002,2
Yonge-Eglinton,March,2002,2
South Parkdale,March,2002,2
Edenbridge-Humber Valley,March,2002,4
